technology,window_number,window_start_date,window_end_date,days_since_launch,video_count,mean_sentiment,median_sentiment,sentiment_std,proportion_positive,proportion_negative,mean_views,mean_hyperbole,mean_complexity,dominant_topic,topic_diversity,mean_duration,mean_subscriber_count,dominant_category,category_diversity,prop_sci_tech,mean_like_ratio,mean_comment_ratio,sentiment_slope
ChatGPT,16,2022-12-28,2023-01-11,28,13,0.4153846153846154,0.6,0.3436232283721854,0.9230769230769231,0.07692307692307693,1678720.4615384615,0.6,0.3538461538461538,Practical Application,0.6666666666666666,968.9230769230769,7298000.0,Education,0.1875,0.07692307692307693,0.029781265291025896,0.0011298412324960924,0.08524774774774775
ChatGPT,17,2023-01-11,2023-01-25,42,15,0.5066666666666666,0.7,0.3195234546871921,0.9333333333333333,0.0,1772709.4,0.5266666666666667,0.47333333333333333,Practical Application,0.6666666666666666,1612.6666666666667,2746066.6666666665,Education,0.125,0.3333333333333333,0.0201022422222722,0.0009552458047978213,0.08474358974358975
ChatGPT,18,2023-01-25,2023-02-08,56,15,0.32,0.2,0.43293021542573273,0.8666666666666667,0.13333333333333333,1332666.0,0.5133333333333333,0.39333333333333337,Practical Application,0.8333333333333334,952.6666666666666,3177720.0,Education,0.21875,0.26666666666666666,0.03676346312565497,0.0015902125684855402,0.016621794871794854
ChatGPT,19,2023-02-08,2023-02-22,70,12,0.25,0.2,0.412310562561766,0.75,0.25,2218816.9166666665,0.6,0.35000000000000003,Enthusiast/Reaction,0.5,1800.4166666666667,3209379.1666666665,Education,0.15625,0.16666666666666666,0.03459304745233289,0.0019419634187475578,-0.03450000000000001
ChatGPT,20,2023-02-22,2023-03-08,84,15,0.3733333333333333,0.2,0.33480626949810555,0.8,0.0,1166273.6,0.44666666666666666,0.4266666666666667,Practical Application,0.8333333333333334,1005.6,1031000.0,Education,0.1875,0.2,0.02344808271647105,0.0012920621945500558,-0.07287179487179488
ChatGPT,21,2023-03-08,2023-03-22,98,4,0.35,0.44999999999999996,0.43588989435406733,0.75,0.25,1565986.25,0.5,0.275,Enthusiast/Reaction,0.3333333333333333,712.75,1670000.0,Education,0.0625,0.0,0.02865797285233085,0.0014624643464931377,-0.03407692307692308
ChatGPT,22,2023-03-22,2023-04-05,112,14,0.41428571428571426,0.5,0.354871900738937,0.7857142857142857,0.07142857142857142,1713001.357142857,0.5642857142857143,0.39999999999999997,Practical Application,0.8333333333333334,1105.142857142857,1222021.4285714286,People & Blogs,0.25,0.21428571428571427,0.0234833204581742,0.0012194756492439375,-0.025999999999999995
ChatGPT,23,2023-04-05,2023-04-19,126,14,0.5357142857142857,0.7,0.2762583597263281,0.9285714285714286,0.0,227035.2857142857,0.4714285714285714,0.42857142857142855,Practical Application,0.5,764.5,698412.8571428572,Education,0.15625,0.2857142857142857,0.02729145314635718,0.0014746166254320883,0.02885714285714285
ChatGPT,24,2023-04-19,2023-05-03,140,9,0.5333333333333333,0.6,0.21794494717703367,1.0,0.0,1289642.888888889,0.41111111111111115,0.47777777777777775,Practical Application,0.5,2839.6666666666665,6648311.111111111,Education,0.15625,0.2222222222222222,0.029089938606603638,0.0008789464378273402,0.06123809523809524
ChatGPT,25,2023-05-03,2023-05-17,154,15,0.26666666666666666,0.2,0.3518657752744984,0.8,0.2,2093759.8,0.5266666666666667,0.44,Enthusiast/Reaction,0.8333333333333334,2887.0666666666666,3408638.0,Gaming,0.1875,0.13333333333333333,0.022565007439846747,0.0014730508051880441,0.05057142857142858
ChatGPT,26,2023-05-17,2023-05-31,168,3,0.5333333333333333,0.7,0.28867513459481287,1.0,0.0,2077128.6666666667,0.3,0.26666666666666666,Practical Application,0.3333333333333333,587.6666666666666,1165000.0,Howto & Style,0.0625,0.3333333333333333,0.027756942515505926,0.0004502914020557183,-0.004761904761904756
ChatGPT,27,2023-05-31,2023-06-14,182,14,0.4714285714285714,0.6499999999999999,0.4046433784658582,0.8571428571428571,0.07142857142857142,1943425.0,0.4714285714285714,0.33571428571428574,Practical Application,0.8333333333333334,842.2142857142857,4866546.428571428,Education,0.1875,0.07142857142857142,0.02427990152807492,0.0007249816959926766,-0.00309523809523809
ChatGPT,28,2023-06-14,2023-06-28,196,13,0.3076923076923077,0.6,0.5345738777467814,0.6923076923076923,0.23076923076923078,1540927.3076923077,0.47692307692307695,0.3538461538461538,Practical Application,1.0,949.4615384615385,3280433.846153846,Education,0.1875,0.23076923076923078,0.029817201630401614,0.0012638979826751723,-0.012857142857142857
ChatGPT,29,2023-06-28,2023-07-12,210,15,0.42666666666666664,0.7,0.4682286783592984,0.8,0.13333333333333333,456064.13333333336,0.4266666666666667,0.42,Practical Application,0.8333333333333334,953.8,792905.3333333334,Education,0.1875,0.3333333333333333,0.025513350296095246,0.0016217231219765383,-0.02465201465201465
ChatGPT,30,2023-07-12,2023-07-26,224,15,0.30666666666666664,0.2,0.4992375138529708,0.8666666666666667,0.13333333333333333,433346.13333333336,0.42,0.4,Practical Application,0.6666666666666666,837.4,1223920.0,Education,0.1875,0.3333333333333333,0.027564792704003988,0.0011243111057988265,0.009435897435897435
ChatGPT,31,2023-07-26,2023-08-09,238,15,0.3,0.2,0.43752550946038726,0.7333333333333333,0.13333333333333333,1008915.9333333333,0.49333333333333335,0.42,Practical Application,0.8333333333333334,1246.0,2373366.6666666665,Entertainment,0.25,0.13333333333333333,0.03086770271218563,0.0014557981204662038,-0.04980952380952382
ChatGPT,32,2023-08-09,2023-08-23,252,15,0.3733333333333333,0.3,0.3283436063174123,0.9333333333333333,0.06666666666666667,417369.5333333333,0.38,0.3466666666666667,Practical Application,0.6666666666666666,811.2666666666667,1630248.0,Education,0.25,0.06666666666666667,0.026372579501365113,0.0018765994426375259,-0.0343882783882784
ChatGPT,33,2023-08-23,2023-09-06,266,15,0.4533333333333333,0.6,0.32921262488086994,0.9333333333333333,0.06666666666666667,745280.6666666666,0.48666666666666664,0.43333333333333335,Practical Application,0.6666666666666666,3116.733333333333,2557466.6666666665,Education,0.21875,0.26666666666666666,0.02811134340796607,0.0010899356256512394,0.00046153846153845215
ChatGPT,34,2023-09-06,2023-09-20,280,15,0.46,0.7,0.45481550419608924,0.8,0.13333333333333333,239549.06666666668,0.5333333333333333,0.31333333333333335,Practical Application,0.6666666666666666,1037.6666666666667,498443.4666666667,Education,0.21875,0.13333333333333333,0.026795184494060532,0.0011345578641881347,0.012
ChatGPT,35,2023-09-20,2023-10-04,294,15,0.4533333333333333,0.6,0.4015446366695678,0.9333333333333333,0.06666666666666667,1431606.4666666666,0.48666666666666664,0.3733333333333333,Practical Application,0.5,1007.8,4402026.666666667,Education,0.28125,0.06666666666666667,0.027910960599193187,0.0018258187612130937,0.04600000000000001
